key;en;nl;FR;de
eGame.termsAndConditions.intro;<div>Si vous jouez à « {0} » pour la première fois, vous devez d’abord  lire et accepter les règles de ce jeu avant de pouvoir continuer.<br>Si les règles du jeu « {0} » ont été modifiées depuis que vous y avez participé, il vous sera à nouveau demandé de les lire et de les accepter avant de pouvoir continuer.</div>;<div>< Speel je {0} voor het eerst? Dan moet je vooraf de spelregels van dit spel lezen en aanvaarden voordat je verder kan gaan.</br> Wijzigden de spelregels van het spel '{0}' sinds je het voor het laatst speelde? Dan vragen we opnieuw om deze te lezen en te aanvaarden voor je verder kan gaan.</div>;<div>Si vous jouez à « {0} » pour la première fois, vous devez d’abord  lire et accepter les règles de ce jeu avant de pouvoir continuer.<br>Si les règles du jeu « {0} » ont été modifiées depuis que vous y avez participé, il vous sera à nouveau demandé de les lire et de les accepter avant de pouvoir continuer.</div>;<div>< Spielen Sie {0} zum ersten Mal? Dann müssen Sie zuerst die Regeln dieses Spiels lesen und akzeptieren, bevor Sie weitermachen können.<br> Wenn sich die Spielregeln seit dem letzten Mal, dass Sie '{0}' gespielt haben, verändert haben, dann müssen Sie diese wieder zuerst akzeptieren, bevor Sie weitermachen können.</div>
eGame.termsAndConditions.proceed;Proceed;Ga verder;Poursuivre;Weiter
eGame.bingoMagico.name;Bingo Magico;Bingo Magico;Bingo Magico;Bingo Magico
eGame.bingoMagico.hint;Click 24 times on the rabbit and find out 24 numbers in total.;Klik 24 keer op het konijn om in totaal 24 nummers te ontdekken.;Laissez pédaler le lapin 24 fois et découvrez ainsi 24 numéros au total.;Klicken Sie 24 Mal auf das Kaninchen, um insgesamt 24 Zahlen zu entdecken.
eGame.bingoMagico.messages.switchInstruction;Select “Start” to start playing with the proposed grids, or exchange them for two other grids by selecting “Switch”.;Kies Start om met de voorgestelde roosters te spelen, of klik op 'Wissel' om ze in te wisselen voor 2 andere roosters.;Sélectionnez « Commencer » pour commencer à jouer avec les grilles proposées, ou échangez-les pour deux autres grilles en sélectionnant « Échanger ».;Wählen Sie Start, um mit den existierenden Spielfeldern zu spielen, oder klicken Sie auf 'Wechseln', um diese gegen zwei andere Spielfelder einzutauschen.
eGame.bingoMagico.messages.start;Start;Start;Commencer;Start
eGame.bingoMagico.messages.switch;Switch;Wissel;Échanger;Wechseln
eGame.bingoMagico.messages.instruction.title;Click 24 times on the rabbit and find out 24 numbers in total.;Klik 24 keer op het konijn om in totaal 24 nummers te ontdekken.;Laissez pédaler le lapin 24 fois et découvrez ainsi 24 numéros au total.;Klicken Sie 24 Mal auf das Kaninchen, um insgesamt 24 Zahlen zu entdecken.
eGame.bingoMagico.messages.instruction.more;If your numbers, in one grid, form a pattern from the prize legend, you win the corresponding amount.;Vormen jouw nummers in eenzelfde rooster één van de patronen uit de prijslegende? Dan win je het bijhorende bedrag.;Si vos numéros forment, sur une même grille, une des figures reprises dans la légende, vous gagnez le montant correspondant.;Bilden Ihre Zahlen im gleichen Raster, eines der Muster aus der Preislegende? Dann gewinnen Sie den entsprechenden Betrag.
eGame.bingoMagico.almostWin;Almost!;Bijna!;Presque !;Fast!
eGame.rabbitRun.name;Rabbits Run;Rabbits Run;Rabbits Run;Rabbits Run
eGame.rabbitRun.hint;Click the dice to toss them. You have to toss a total of 7 times.;Klik op de dobbelsteen om deze te werpen. Je moet deze in totaal 7 keer werpen.;Sélectionnez les dés pour les lancer. Vous devez les lancer 7 fois au total.;Klicken Sie auf die Würfel, um sie zu werfen. Sie müssen insgesamt 7 Mal würfeln.
eGame.rabbitRun.moveBonusMessage;The {0} rabbit can move {1} steps.;Het {0} konijn mag {1} vakjes vooruitgaan.;Le lapin {0} peut avancer de {1} cases.;Das {0} Karnickel kann {1} Felder vorrücken.
eGame.rabbitRun.instantWinMessage;Congratulations, you already won €{0}!;Proficiat, je wint alvast €{0}!;Bravo, vous gagnez déjà {0} € !;Glückwunsch, Sie haben bereits {0} € gewonnen!
eGame.rabbitRun.yellow;yellow;gele;jaune;gelbe
eGame.rabbitRun.purple;purple;paarse;violet;violette
eGame.rabbitRun.red;red;rode;rouge;rote
eGame.rabbitRun.orange;orange;oranje;orange;orange
eGame.rabbitRun.blue;blue;blauwe;bleu;blaue
eGame.superSafe.name;Super Safe;Super Safe;Super Safe;Super Safe
eGame.superSafe.hint;You have to open safes 9 of your choice.;Je moet 9 kluizen naar keuze openen.;Ouvrez au total 9 coffres-forts au choix.;Öffnen Sie insgesamt 9 Tresore Ihrer Wahl.
eGame.piggyBanks.name;Piggy Banks;Piggy Banks;Piggy Banks;Piggy Banks
eGame.piggyBanks.hint;Break the piggy banks.;Sla de spaarvarkentjes stuk.;Cassez toutes les tirelires.;Zerbrechen Sie die Sparschweine.
eGame.treasureHunt.name;Treasure Hunt;Treasure Hunt;Treasure Hunt;Treasure Hunt
eGame.treasureHunt.hint;Kies 9 oplichtende vindplaatsen om voorwerpen uit de prijslegende te verzamelen.;Klik op 9 oplichtende vindplaatsen voorwerpen uit de prijslegende tevoorschijn.;Sélectionnez 9 emplacements en surbrillance pour rassembler des objets repris dans la légende.;Wählen Sie 9 hervorgehobenen Stellen, um Gegenstände aus der Preislegende zu sammeln.
eGame.treasureHunt.bittenSnakeMessage;Je werd gebeten door een slang. Je verliest een leven. Je hebt nog 1 leven over.; Je trapte op een zeester? Je verliest een leven. Je hebt nog 1 leven over.;Vous avez été mordu par un serpent. Vous perdez une vie. .;Sie sind auf einen Seestern getreten? Dann verlieren Sie ein Leben. Sie haben noch ein Leben übrig.
eGame.treasureHunt.noMoreLive; Je hebt geen levens meer over. Het spel is afgelopen.; Je hebt geen levens meer over. Het spel is afgelopen.;Il ne vous en reste plus. Le jeu est terminé.;Sie haben keine Leben mehr übrig. Das Spiel ist beendet.
eGame.treasureHunt.liveLeft;You still have {0}.; Je hebt nog {0} leven over.;Il vous en reste encore {0};Sie haben noch {0} Leben übrig.
eGame.21.name;21;21;21;21
eGame.21.hint;Turn the 3 cards.;Draai de 3 kaarten om.;Retournez les 3 cartes.;Drehen Sie die 3 Karten um.
eGame.xTheMoney.name;X The Money;Winnen en delen;Gagner et partager;Gewinnen und teilen
eGame.xTheMoney.hint;You have to open safes 12 of your choice.;Open 12 kluizen naar keuze.;Ouvrez les zones « Votre numéro », « Numéros gagnants », « Gain » et « Multiplicateur » pour jouer.;Öffnen Sie 12 Tresore Ihrer Wahl.
eGameConfirmIntroTitleMagic;Choose a number and then “Start” to start the test game.;Kies een nummer, en klik op 'Start' om het spel te starten;Choissisez un chiffre et sélectionnez « Commencer » pour lancer\nle jeu d’essai.;Wählen Sie eine Zahl und klicken Sie auf 'Start', um das Testspiel zu starten.
egameResultTitleLose;Too bad;Jammer;Dommage;Schade
egameResultTitleLoseGains;No gains.;Geen winst.;Pas de gains.;Keine Gewinne.
egameResultTitleWin;Congratulations!;Gefeliciteerd!;Félicitations !;Herzlichen Glückwunsch!
egameResultTitleWinGains;You won € {0};Je wint € {0};Vous avez gagné {0} €.;Sie haben {0} € gewonnen
egameResultPlayResponsibly;Play responsibly;Speel verantwoord;Jouez de manière responsable;Spielen Sie verantwortungsvoll
egameResultPlayResponsiblyInfo;In the last 24 hours, you played {0} games;In de laatste 24 uur, speelde je {0} spelen;Dans les dernières 24 heures, vous avez joué à {0} jeux;Sie haben in den letzten 24 Stunden {0} Spiele gespielt
egameResultPlayResponsiblyInfoAlmostLimit;[EN] Durant les dernières 24 heures, vous avez joué à 14 e-games. Vous approchez de votre limite de jeu. Gérez vos limites.;In de laatste 24 uur, heb je 14 e-games gespeeld. Je nadert je limiet. Beheer je speellimieten.;Durant les dernières 24 heures, vous avez joué à 14 e-games. Vous approchez de votre limite de jeu. Gérez vos limites.;Sie haben in den letzten 24 Stunden 14 E-Games gespielt. Sie nähern sich Ihrem Glücksspiellimit. Verwalten Sie Ihre Limits.
egameResultPlayResponsiblyInfoLimit;[EN] Vous avez atteint votre limite de jeu (15 e-games/24h). Vous ne pouvez momentanément plus acheter de jeux instantanés.;Je hebt je spellimiet bereikt (15 e-games/24u). Je kan tijdelijk geen instant games meer spelen.;Vous avez atteint votre limite de jeu (15 e-games/24h). Vous ne pouvez momentanément plus acheter de jeux instantanés.;Sie haben Ihr Spiellimit erreicht (15 E-Games / 24h). Momentan können Sie keine Sofortspiele mehr kaufen.
egameResultPlayAgain;Play again?;Opnieuw spelen?;Jouer à nouveau ?;Nochmals spielen?
egameResultPlayAgainAction;Buy for € {0};Kopen voor € {0};Acheter pour {0} €;Kaufen für {0} €
egameResultOtherGames;Play another game?;Een ander spel spelen?;Jouer à un autre jeu ? ;Noch ein Spiel spielen?
egameResultOtherGamesAction;View all games;Bekijk alle spelen;Voir tous les jeux;Alle Spiele ansehen
egameWinMediumInfo;Winning between € 500 and € 25.000 – and therefore the amount you just won – are automatically transferred to your bank account.;Je hebt tussen € 500 en € 25.000 gewonnen, dit bedrag wordt automatisch naar je bankrekening overgemaakt.;Vous avez gagné entre 500 € et 25.000 €, ce montant est automatiquement transféré sur votre compte bancaire.;Sie gewinnen zwischen 500 € und 25.000 € – damit wird der soeben gewonnene Betrag – automatisch auf Ihr Bankkonto überwiesen.
egameWinHighInfo;To withdraw your winnings, you are invited to come to our headquarters, Belliard street 25-33, 1040 Brussels.;Om je winsten op te nemen, word je uitgenodigd om naar ons hoofdkantoor te komen, Belliardstraat 25-33, 1040 Brussel.;Afin de récupérer vos gains, vous êtes invité à vous rendre à notre siège social, rue Belliard 25-33, 1040 Bruxelles.;Um Ihre Gewinne abzuheben, laden wir Sie in unseren Hauptsitz ein, Belliard Street 25-33, 1040 Brüssel.
egameResultFunTitle;[EN] Het testspel is afgelopen;Het testspel is afgelopen;La démo du jeu est terminée;Das Testspiel ist vorbei
egameResultFunInfoPart1;[EN] Vergeet niet dat dit testspel altijd verliest.;Vergeet niet dat dit testspel altijd verliest.;N'oubliez pas que la démo d'un jeu est toujours perdante. ;Denken Sie daran, das Testspiel verliert immer.
egameResultFunInfoPart2;[EN] Vond je het leuk?;Vond je het leuk?;Vous avez trouvé ça chouette ?;Hat es Ihnen gefallen?
egameResultMultiStakeTitle;Choose your stake.;Kies je inzet;Choisissez votre mise;Wählen Sie Ihren Einsatz.
egames.EAS180108.result.losing;To win, you need to find 3 identical symbols.;Om te winnen, moet je drie identieke symbolen in de speelzone aantreffen.;Pour gagner, vous devez voir apparaître trois symboles identiques.;Um zu gewinnen, müssen Sie drei identische Symbole im Spielbereich entdecken.
egames.EBB170717.result.losing;To win, you have to find three identical symbols in the play area.;Om te winnen, moet je in de speelzone drie identieke symbolen aantreffen.;Pour être gagnante, la zone de jeu doit contenir trois symboles identiques.;Um zu gewinnen, müssen Sie drei identische Symbole in der Spielzone finden.
egames.EBN161031.result.losing;To win, the drawn number should have formed one of the figures mentioned in the caption on at least one of the two grids.;Om te winnen, moeten jouw getrokken nummers één van de patronen uit de prijslegende vormen op ten minste één van de twee Bingo-roosters.;Pour gagner, il aurait fallu que les numéros tirés forment, sur au moins une des 2 grilles Bingo, une des figures reprises dans la légende.;Um zu gewinnen, müssen Ihre gezogenen Nummern zumindest auf einem Ihrer beiden Bingo-Zahlenfelder, eines der Muster aus der Preislegende bilden.
egames.ECF171113.result.losing;To win, you have to find three identical symbols in the play area.;Om te winnen, moet je drie identieke symbolen in de speelzone aantreffen.;Pour pouvoir gagner, la zone de jeu doit contenir trois symboles identiques.;Um zu gewinnen, müssen Sie 3 identische Symbole in der Spielzone finden.
egames.EDI170515.result.losing;Unfortunately, no gain. To win, you must find € 4 or € 20.000 in the play area.;Om te winnen, moet je in de speelzone '€ 4' of '€20.000' aantreffen.;Pour être gagnante, la zone de jeu doit contenir soit « 4 € », soit « 20.000 € ».;Um zu gewinnen, müssen Sie in der Spielzone '4 €' oder '20.000 €' finden.
egames.EKC160509.result.losing;To win, one of your symbols must be identical to one of the winning symbols.;Om te winnen, dient één van je symbolen identiek te zijn aan één van de winnende symbolen.;Pour gagner, un de vos symboles doit être identique à un des symboles gagnants.;Um zu gewinnen, muss eines Ihrer Symbole und eines der Gewinnsymbole übereinstimmen.
egames.EMT180205.result.losing;To win, you have to find three identical symbols in the play area.;Om te winnen, dient één van jouw nummers identiek te zijn aan één van de winnende nummers.;Pour gagner, un de vos numéros doit être identique à un des numéros gagnants.;Um zu gewinnen, muss eine Ihrer Zahlen und eine der Gewinnzahlen übereinstimmen.
egames.EPB160509.result.losing;To win, 2 identical amounts should appear on the same shelf.;Om te winnen, dienen er 2 identieke bedragen op hetzelfde schap te verschijnen.;Vous gagnez lorsqu’un même montant apparaît 2 fois sur la même planche.;Sie gewinnen, wenn der selbe Betrag 2 Mal auf demselben Brett erscheint.
egames.ERR161031.result.losing;You win when a rabbit reaches the winning area (5th box) or you discover an amount in the bonus game.;Om te winnen, dient een konijn in zijn winstzone terecht te komen (5de vakje) of dien je een bedrag te ontdekken bij het bonusspel.;Vous gagnez lorsqu’un lapin atteint la zone de gain (5ème case) ou que vous découvrez un montant dans le jeu bonus.;Sie gewinnen, wenn ein Karnickel den Gewinnbereich (5. Feld) erreicht oder Sie einen Betrag im Bonusspiel entdecken.
egames.ESC151005.result.losing;To win, 3 identical amounts should appear in the gaming area.;Om te winnen, moeten er 3 identieke bedragen in de speelzone verschijnen;Pour gagner, trois montants identiques doivent apparaître dans la zone de jeu.;Um zu gewinnen, müssen 3 identische Beträge im Spielbereich erscheinen.
egames.ESC170306.result.losing;To win, 3 identical amounts should appear in the gaming area.;Om te winnen, moet je in de speelzone drie identieke bedragen aantreffen.;Pour être gagnante, la zone de jeu doit contenir trois montants identiques.;Um zu gewinnen, müssen Sie 3 identische Beträge in der Spielzone finden.
egames.ESL151005.result.losing;To win, 3 identical amounts, symbols or words should appear in the gaming areas.;Om te winnen, moeten er 3 identieke bedragen, symbolen of woorden in de speelzones verschijnen.;Pour gagner, les zones de jeu doivent contenir 3 montants, symboles ou mots identiques.;Um zu gewinnen, müssen Sie 3 identische Beträge, Symbole oder Wörter in den Spielzonen finden.
egames.ESL170306.result.losing;To win, 3 identical amounts or symbols should appear in the gaming areas.;Om te winnen, moet je drie identieke bedragen of symbolen in de speelzones aantreffen.;Pour être gagnantes, les zones de jeu doivent contenir trois montants ou symboles identiques.;Um zu gewinnen, müssen Sie 3 identische Beträge oder Symbole in den Spielzonen finden.
egames.ESS160509.result.losing;You win when you uncover 3 identical items in the safes.;Om te winnen, dien je 3 identieke objecten in de kluizen te vinden.;Vous gagnez lorsque vous découvrez 3 objets identiques dans les coffres-forts.;Sie gewinnen, wenn Sie 3 identische Gegenstände in den Safes entdecken.
egames.ETH160509.result.losing;To win it is required that the same object appear as many times as in the legend.;Om te winnen, dient eenzelfde voorwerp het aantal keer te verschijnen dat in de legende wordt vermeld.;Pour gagner, il aurait fallu qu’un même objet apparaisse autant de fois qu’indiqué dans la légende.;Um zu gewinnen, müssen Sie den selben Gegenstand so oft finden, wie in der Legende angegeben. 
egames.EWC150330.result.losing;To win, one of your symbols must be identical to one of the winning symbols.;Om te winnen, dient één van je symbolen identiek te zijn aan één van de winnende symbolen.;Pour gagner, un de vos symboles doit être identique à un des symboles gagnants.;Um zu gewinnen, müssen eines Ihrer Symbole und eines der Gewinnsymbole übereinstimmen.
egames.EWD150330.result.losing;To win, one of your symbols must be identical to one of the winning symbols.;Om te winnen, dient één van je symbolen identiek te zijn aan één van de winnende symbolen.;Pour gagner, un de vos symboles doit être identique à un des symboles gagnants.;Um zu gewinnen, muss eines Ihrer Symbole mit einem der Gewinnsymbole übereinstimmen.
egames.EWM150330.result.losing;To win, one of your symbols must be identical to one of the winning symbols.;Om te winnen, dient één van je symbolen identiek te zijn aan één van de winnende symbolen.;Pour gagner, un de vos symboles doit être identique à un des symboles gagnants.;Um zu gewinnen, muss eines Ihrer Symbole mit einem der Gewinnsymbole übereinstimmen.
egames.EWP160314.result.losing;To win, one of your symbols must be identical to one of the winning symbols.;Om te winnen, dient één van je symbolen identiek te zijn aan één van de winnende symbolen.;Pour gagner, un de vos symboles doit être identique à un des symboles gagnants.;Um zu gewinnen, muss eines Ihrer Symbole mit einem der Gewinnsymbole übereinstimmen.
egames.EW1180416.result.losing;To win, your symbol must be identical to one of the winning symbols.;Om te winnen, dient 'Je symbool' identiek te zijn aan één van de 'Winnende symbolen'.;Pour gagner, « Votre symbole » doit être identique à un des « Symboles gagnants ».;Um zu gewinnen, muss 'Ihr Symbol' mit einem der 'Gewinnsymbole' übereinstimmen.
egames.EW2180416.result.losing;To win, your symbol must be identical to one of the winning symbols.;Om te winnen, dient 'Je symbool' identiek te zijn aan één van de 'Winnende symbolen'.;Pour gagner, « Votre symbole » doit être identique à un des « Symboles gagnants ».;Um zu gewinnen, muss 'Ihr Symbol' mit einem der 'Gewinnsymbole' übereinstimmen.
egames.EW3180416.result.losing;To win, one of your symbols must be identical to one of the winning symbols.;Om te winnen, dient één van 'Je symbolen' identiek te zijn aan één van de 'Winnende symbolen'.;Pour gagner, un de « Vos symboles » doit être identique à un des  « Symboles gagnants ».;Um zu gewinnen, muss 'Ihr Symbol' mit einem der 'Gewinnsymbole' übereinstimmen.
egames.EW5180416.result.losing;To win, one of your symbols must be identical to one of the winning symbols.;Om te winnen, dient één van 'Je symbolen' identiek te zijn aan één van de 'Winnende symbolen'.;Pour gagner, un de « Vos symboles » doit être identique à un des  « Symboles gagnants ».;Um zu gewinnen, muss 'Ihr Symbol' mit einem der 'Gewinnsymbole' übereinstimmen.
egames.EWX180416.result.losing;To win, one of your symbols must be identical to one of the winning symbols.;Om te winnen, dient één van 'Je symbolen' identiek te zijn aan één van de 'Winnende symbolen'.;Pour gagner, un de « Vos symboles » doit être identique à un des  « Symboles gagnants ».;Um zu gewinnen, muss 'Ihr Symbol' mit einem der 'Gewinnsymbole' übereinstimmen.
egames.EBP180514.result.losing;To win, one of your symbols must be identical to one of the winning symbols.;Om te winnen, dient één van jouw nummers identiek te zijn aan één van de winnende nummers van hetzelfde spel.;Pour gagner, un de vos numéros doit être identique à un des numéros gagnants du même jeu.;Um zu gewinnen, muss eine Ihrer Zahlen mit einer der Gewinnzahlen aus demselben Spiel übereinstimmen.
egames.ESM180709.result.losing;Pour gagner, vous devez trouver un même symbole autant de fois qu’indiqué dans la légende.;Om te winnen, dien je eenzelfde symbool het aantal keer te vinden dat in de legende wordt vermeld.;Pour gagner, vous devez trouver un même symbole autant de fois qu’indiqué dans la légende.;Um zu gewinnen, müssen Sie das gleiche Symbol so oft finden, wie in der Legende erwähnt.
egames.EW6180910.result.losing;To win, one of your symbols must be identical to one of the winning symbols.;Om te winnen, dient één van 'Je symbolen' identiek te zijn aan één van de 'Winnende symbolen'.;Pour gagner, un de « Vos symboles » doit être identique à un des  « Symboles gagnants ».;Um zu gewinnen, muss eines Ihrer 'Ihre Symbole' und eines der 'Gewinnsymbole' übereinstimmen.
egames.EWF181119.result.losing;To win, you have to find three identical symbols in the play area.;Om te winnen, moet je drie  identieke symbolen in de speelzone aantreffen.;Pour pouvoir gagner, la zone de jeu doit contenir trois symboles identiques.;Um zu gewinnen, müssen Sie 3 identische Symbole in der Spielzone finden.
egames.EWM181119.result.losing;Pour gagner, vous devez trouver un même symbole autant de fois qu’indiqué dans la légende.;Om te winnen, dien je eenzelfde symbool het aantal keer te vinden dat in de legende wordt vermeld.;Pour gagner, vous devez trouver un même symbole autant de fois qu’indiqué dans la légende.;Um zu gewinnen, müssen Sie das gleiche Symbol so oft finden, wie in der Legende angegeben.
egames.EWS181119.result.losing;Pour gagner, un de « Vos symboles » doit être identique à un des  « Symboles gagnants ».;Om te winnen, dient één van 'Je symbolen' identiek te zijn aan één van de 'Winnende symbolen'.;Pour gagner, un de « Vos symboles » doit être identique à un des  « Symboles gagnants ».;Um zu gewinnen, muss eines Ihrer 'Ihre Symbole' mit einem der 'Gewinnsymbole' identisch sein.
egames.ES1190204.result.losing;Um zu gewinnen, müssen Sie drei identische Beträge in der Spielzone finden.;Om te winnen, moet je in de speelzone drie identieke bedragen aantreffen.;Pour être gagnante, la zone de jeu doit contenir trois montants identiques.;Um zu gewinnen, müssen Sie 3 identische Beträge in der Spielzone finden.
egames.ES3190204.result.losing;Um zu gewinnen, müssen Sie drei identische Beträge, Symbole oder Wörter in den Spielzonen finden.;Om te winnen, moet je drie identieke bedragen of symbolen in de speelzones aantreffen.;Pour être gagnantes, les zones de jeu doivent contenir trois montants ou symboles identiques.;Um zu gewinnen, müssen Sie 3 identische Beträge, Symbole oder Wörter in den Spielzonen finden.
egames.ES5190204.result.losing;Um zu gewinnen, müssen Sie drei identische Beträge, Wörter oder Symbole in den Spielzonen finden.;Om te winnen, moet je drie identieke bedragen, woorden of symbolen in de speelzones aantreffen.;Pour être gagnantes, les zones de jeu doivent contenir trois montants, mots ou symboles identiques.;Um zu gewinnen, müssen Sie 3 identische Beträge, Wörter oder Symbole in den Spielzonen finden.
egames.ESX190204.result.losing;Um zu gewinnen, müssen Sie drei identische Beträge, Wörter oder Symbole in den Spielzonen finden.;Om te winnen, moet je drie identieke bedragen, woorden of symbolen in de speelzones aantreffen.;Pour être gagnantes, les zones de jeu doivent contenir trois montants, mots ou symboles identiques.;Um zu gewinnen, müssen Sie 3 identische Beträge, Wörter oder Symbole in den Spielzonen finden.
egames.EVP190401.result.losing;Om te winnen, dient één van jouw nummers identiek te zijn aan één van de winnende nummers, of moet je “€150” ontdekken in de bonuszone.;Om te winnen, dient één van jouw nummers identiek te zijn aan één van de winnende nummers, of moet je '€150' ontdekken in de bonuszone.;Pour gagner, l’un de vos numéros doit être identique à l’un des numéros gagnants ou vous devez découvrir « 150 € » dans la zone bonus.;Um zu gewinnen, muss eine Ihrer Zahlen mit einer der Gewinnzahlen identisch sein oder Sie müssen '150 €' in der Bonuszone entdecken.
egames.EP1190603.result.losing;To win, a price has to appear in the play area.;Om te winnen, dient er een bedrag in de speelzone te verschijnen.;Pour être gagnante, un montant doit apparaître dans la zone de jeu.;Um zu gewinnen, muss ein Betrag in die Spielzone erscheinen.
egames.EMT190701.result.losing;To win, you have to find three identical symbols in the play area.;Om te winnen, dient één van jouw nummers identiek te zijn aan één van de winnende nummers.;Pour gagner, un de vos numéros doit être identique à un des numéros gagnants.;Um zu gewinnen, muss eine Ihrer Nummern mit einer der Gewinnnummern übereinstimmen.
egames.EWF191111.result.losing;Om te winnen, moet je drie  identieke symbolen in de speelzone aantreffen.;Om te winnen, moet je drie  identieke symbolen in de speelzone aantreffen.;Pour pouvoir gagner, la zone de jeu doit contenir trois symboles identiques.;Um zu gewinnen, müssen Sie drei identische Symbole in der Spielzone finden.
egames.ECA191007.result.losing;Om te winnen, dient het resultaat van de verschillende spelen overeen te stemmen met de respectieve legende die voor ieder spel wordt vermeld.;Om te winnen, dient het resultaat van de verschillende spelen overeen te stemmen met de respectieve legende die voor ieder spel wordt vermeld.;Pour gagner, le résultat des différents jeux doit correspondre aux légendes indiquées par jeu.;Um zu gewinnen, müssen die Ergebnisse der verschiedenen Spiele jeweils mit angegebenen Legende übereinstimmen.
egames.EWM191111.result.losing;Om te winnen, dien je eenzelfde symbool het aantal keer te vinden dat in de legende wordt vermeld.;Om te winnen, dien je eenzelfde symbool het aantal keer te vinden dat in de legende wordt vermeld.;Pour gagner, vous devez trouver un même symbole autant de fois qu’indiqué dans la légende.;Um zu gewinnen, müssen Sie ein und dasselbe Symbol so oft finden wie in der Legende angegeben.
egames.EWS191111.result.losing;Om te winnen, dient één van “Je symbolen” identiek te zijn aan één van de “Winnende symbolen”.;Om te winnen, dient één van 'Je symbolen' identiek te zijn aan één van de 'Winnende symbolen'.;Pour gagner, un de « Vos symboles » doit être identique à un des  « Symboles gagnants ».;Um zu gewinnen, muss eines 'Ihrer Symbole' mit einem der 'Gewinnsymbole' übereinstimmen.
egames.EWH200406.result.losing;Pour gagner, un de « Vos symboles » doit être identique à un des  « Symboles gagnants ».;Om te winnen, dient één van 'Je symbolen' identiek te zijn aan één van de 'Winnende symbolen'.;Pour gagner, un de « Vos symboles » doit être identique à un des  « Symboles gagnants ».;Um zu gewinnen, muss eines 'Ihrer Symbole' mit einem der 'Gewinnsymbole' übereinstimmen.
egames.EFO200504.result.losing;To win, one of your symbols must be identical to one of the winning symbols;Om te winnen, dient één van 'Je nummers' identiek te zijn aan één van de 'Winnende nummers', of moet je 3 symbolen 'Diamant' ontdekken. ;Pour gagner, l’un de « Vos numéros » doit être identique à l’un des « Numéros gagnants » ou vous devez découvrir 3 symboles « Diamant ».;Um zu gewinnen, muss eine 'Ihrer Zahlen' mit einer der 'Gewinnzahlen' übereinstimmen oder Sie müssen 3 'Diamant'-Symbole aufdecken.
egames.EMN200601.result.losing;To win, you need to find 3 identical symbols.;Om winnend te zijn, moet de speelzone 'Uw cijfers' drie identieke cijfers bevatten.;Pour gagner, la zone de jeu « Vos chiffres » doit contenir trois chiffres identiques.;Um zu gewinnen, muss der Spielbereich 'Ihre Zahlen' 3 identische Zahlen enthalten.
egames.EM2200907.result.losing;Om te winnen, moet één van jouw nummers identiek zijn aan één van de winnende nummers.;Om te winnen, moet één van jouw nummers identiek zijn aan één van de winnende nummers.;Pour gagner, votre numéro doit être identique à l’un des numéros gagnants.;Um zu gewinnen, muss Ihre Zahl mit einer der Gewinnzahlen übereinstimmen.
egames.EM5200907.result.losing;Om te winnen, moet één van jouw nummers identiek zijn aan één van de winnende nummers.;Om te winnen, moet één van jouw nummers identiek zijn aan één van de winnende nummers.;Pour gagner, votre numéro doit être identique à l’un des numéros gagnants.;Um zu gewinnen, muss Ihre Zahl mit einer der Gewinnzahlen übereinstimmen.
egames.EMX200907.result.losing;Om te winnen, moet één van jouw nummers identiek zijn aan één van de winnende nummers.;Om te winnen, moet één van jouw nummers identiek zijn aan één van de winnende nummers.;Pour gagner, votre numéro doit être identique à l’un des numéros gagnants.;Um zu gewinnen, muss Ihre Zahl mit einer der Gewinnzahlen übereinstimmen.
egames.EWF201109.result.losing;Om te winnen, moet je drie  identieke symbolen in de speelzone aantreffen.;Om te winnen, moet je drie identieke symbolen in de speelzone aantreffen.;Pour pouvoir gagner, la zone de jeu doit contenir trois symboles identiques.;Um zu gewinnen, müssen Sie 3 identische Symbole in der Spielzone finden.
egames.EWM201109.result.losing;Om te winnen, dien je eenzelfde symbool het aantal keer te vinden dat in de legende wordt vermeld.;Om te winnen, dien je eenzelfde symbool het aantal keer te vinden dat in de legende wordt vermeld.;Pour gagner, vous devez trouver un même symbole autant de fois qu’indiqué dans la légende.;Um zu gewinnen, müssen Sie ein und dasselbe Symbol so oft finden wie in der Legende angegeben.
egames.EWS201109.result.losing;Om te winnen, dient één van “Je symbolen” identiek te zijn aan één van de “Winnende symbolen”.;Om te winnen, dient één van 'Je symbolen' identiek te zijn aan één van de 'Winnende symbolen'.;Pour gagner, un de « Vos symboles » doit être identique à un des  « Symboles gagnants ».;Um zu gewinnen, muss eines 'Ihrer Symbole' mit einem der 'Gewinnsymbole' übereinstimmen.
egames.ELS201005.result.losing;Om te winnen, moet je in eenzelfde spel 3 identieke symbolen vinden.;Om te winnen, moet je in eenzelfde spel 3 identieke symbolen vinden.;Pour gagner, découvrez 3 symboles identiques dans un même jeu.;Um zu gewinnen, müssen Sie 3 identische Symbole im selben Spiel entdecken.
egames.EBH210201.result.losing;Om te winnen, moet je op een trede van de rode loper een volledige rij met jouw “Winnende nummers” kunnen vormen.;Om te winnen, moet je op een trede van de rode loper een volledige rij met jouw 'Winnende nummers' kunnen vormen.;Pour gagner, remplissez une rangée complète sur une marche du tapis rouge avec vos « Numéros gagnants ».;Um zu gewinnen, müssen Ihre 'Gewinnzahlen' eine ganze Reihe auf einer Stufe des roten Teppichs ausfüllen.
